iter	RMSE
0	14.11503234
1	13.20600294
2	12.36852714
3	11.62282774
4	10.9745692
5	10.43918749
6	9.925949105
7	9.48208435
8	9.085322465
9	8.668029044
10	8.29446603
11	7.982883262
12	7.721793324
13	7.48533577
14	7.245767448
15	7.043544763
16	6.854137416
17	6.682625022
18	6.542002807
19	6.401473215
20	6.299550176
21	6.193903531
22	6.085445715
23	6.000412827
24	5.91469119
25	5.85700368
26	5.787696733
27	5.74293105
28	5.698289578
29	5.647115537
30	5.601359185
31	5.560915717
32	5.512403248
33	5.477522975
34	5.439163604
35	5.407188186
36	5.381538671
37	5.363271608
38	5.342854314
39	5.314317406
40	5.291946497
41	5.276104292
42	5.259033843
43	5.238576266
44	5.22284499
45	5.206154484
46	5.192318275
47	5.17811763
48	5.159923682
49	5.130841183
50	5.111012454
51	5.082583289
52	5.08005172
53	5.06683781
54	5.054980854
55	5.047748716
56	5.03008722
57	5.021138584
58	4.999030723
59	4.98991112
60	4.982185992
61	4.964157534
62	4.958478836
63	4.944897382
64	4.927952479
65	4.909705939
66	4.899766655
67	4.894252846
68	4.879236094
69	4.863844836
70	4.855003182
71	4.848551249
72	4.844352424
73	4.836699269
74	4.827657961
75	4.823653852
76	4.819008899
77	4.813369997
78	4.798881893
79	4.794654268
80	4.788167575
81	4.780810401
82	4.767235368
83	4.763154763
84	4.751998072
85	4.743053281
86	4.735234327
87	4.724861413
88	4.719252758
89	4.707918663
90	4.694455712
91	4.686727452
92	4.680627033
93	4.675255311
94	4.670776822
95	4.668605283
96	4.663987257
97	4.657399994
98	4.648652064
99	4.635495662
