iter	Passed	Remaining
0	54	54307
1	54	27240
2	54	18210
3	55	13695
4	55	10987
5	55	9186
6	56	8008
7	56	7029
8	56	6264
9	57	5654
10	57	5153
11	57	4737
12	57	4383
13	57	4079
14	58	3817
15	58	3586
16	58	3382
17	58	3201
18	58	3039
19	59	2896
20	59	2769
21	59	2651
22	59	2544
23	60	2444
24	60	2353
25	60	2269
26	60	2190
27	60	2116
28	61	2048
29	61	2000
30	62	1941
31	62	1888
32	62	1838
33	62	1789
34	63	1744
35	63	1700
36	63	1658
37	63	1617
38	64	1580
39	64	1544
40	64	1510
41	64	1477
42	65	1446
43	65	1417
44	65	1388
45	65	1360
46	65	1334
47	66	1309
48	66	1285
49	66	1261
50	66	1239
51	66	1217
52	66	1196
53	67	1177
54	67	1158
55	67	1140
56	67	1123
57	68	1106
58	68	1089
59	68	1073
60	68	1058
61	68	1043
62	69	1028
63	69	1014
64	69	1000
65	69	988
66	70	975
67	70	962
68	70	950
69	70	941
70	71	930
71	71	920
72	71	910
73	71	899
74	72	889
75	72	879
76	72	869
77	72	860
78	72	850
79	73	841
80	73	832
81	73	824
82	73	814
83	73	805
84	74	798
85	74	790
86	74	782
87	75	778
88	75	771
89	75	764
90	75	757
91	76	750
92	76	743
93	76	737
94	76	730
95	76	724
96	77	718
97	77	712
98	77	706
99	77	700
100	78	694
101	78	689
102	78	683
103	78	678
104	78	673
105	79	667
106	79	665
107	79	660
108	80	655
109	80	650
110	80	645
111	80	641
112	81	637
113	81	632
114	81	628
115	81	624
116	82	620
117	82	616
118	82	612
119	83	610
120	83	606
121	83	602
122	84	600
123	84	596
124	84	593
125	85	589
126	85	585
127	85	581
128	85	578
129	85	574
130	86	570
131	86	566
132	86	563
133	86	559
134	86	556
135	86	552
136	87	549
137	87	545
138	89	555
139	90	552
140	90	549
141	90	545
142	90	542
143	90	539
144	90	536
145	91	532
146	91	529
147	91	526
148	91	523
149	91	520
150	92	517
151	92	515
152	92	512
153	92	509
154	92	506
155	93	503
156	93	500
157	93	498
158	93	495
159	93	492
160	94	489
161	94	487
162	94	484
163	94	482
164	94	479
165	94	477
166	95	474
167	95	473
168	95	470
169	95	468
170	96	466
171	96	463
172	97	465
173	97	463
174	97	460
175	97	458
176	98	456
177	98	454
178	98	451
179	98	449
180	98	447
181	99	445
182	99	443
183	99	441
184	99	439
185	99	436
186	100	435
187	100	433
188	100	431
189	100	429
190	100	427
191	101	425
192	101	423
193	101	421
194	101	419
195	101	417
196	102	415
197	102	414
198	102	412
199	102	410
200	102	408
201	102	406
202	103	405
203	103	403
204	103	402
205	104	400
206	104	399
207	104	397
208	105	398
209	105	396
210	105	395
211	105	393
212	106	392
213	106	390
214	106	388
215	106	387
216	106	385
217	107	384
218	107	382
219	107	381
220	107	379
221	107	378
222	108	376
223	108	375
224	108	373
225	108	372
226	108	370
227	109	369
228	109	368
229	109	366
230	109	365
231	109	363
232	110	362
233	110	360
234	110	359
235	110	358
236	110	356
237	110	355
238	111	353
239	111	352
240	111	351
241	111	350
242	112	349
243	112	348
244	112	346
245	112	345
246	112	344
247	113	342
248	113	341
249	113	340
250	113	339
251	113	337
252	114	336
253	114	335
254	114	334
255	114	333
256	114	331
257	114	330
258	115	329
259	115	328
260	115	327
261	115	326
262	116	325
263	116	324
264	116	322
265	116	321
266	116	320
267	116	319
268	117	318
269	117	317
270	117	316
271	117	314
272	117	313
273	118	312
274	118	311
275	118	310
276	118	309
277	118	308
278	119	307
279	119	306
280	119	305
281	119	304
282	120	305
283	120	304
284	120	303
285	121	302
286	121	301
287	121	300
